epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1541.97,0.65829,0.30559,0.00338,0.92053,0.96086,0.9847,0.7374,0.78876,0.30718,0.00524,0.00177651,0.00177651,0.00177651
75,1562.56,0.66158,0.30187,0.00343,0.96444,0.9707,0.98228,0.74385,0.78673,0.29285,0.00528,0.00166149,0.00166149,0.00166149
76,1583.26,0.65251,0.30827,0.00327,0.95645,0.94137,0.97134,0.73757,0.79811,0.30866,0.00529,0.00154982,0.00154982,0.00154982
77,1603.93,0.64789,0.30522,0.00332,0.93758,0.97292,0.97089,0.74406,0.80176,0.30682,0.00533,0.00144161,0.00144161,0.00144161
78,1624.5,0.64815,0.28742,0.00349,0.94644,0.96576,0.96993,0.7394,0.78271,0.30051,0.00521,0.00133695,0.00133695,0.00133695
79,1645.03,0.62798,0.29277,0.00322,0.9431,0.97122,0.97291,0.74278,0.78988,0.29212,0.00525,0.00123596,0.00123596,0.00123596
80,1665.56,0.63229,0.30419,0.00333,0.9637,0.97288,0.9738,0.74874,0.7837,0.29254,0.00519,0.00113873,0.00113873,0.00113873
81,1686.2,0.62682,0.28034,0.00331,0.92699,0.97397,0.97001,0.74461,0.77532,0.29061,0.00515,0.00104537,0.00104537,0.00104537
82,1706.94,0.6217,0.27748,0.00331,0.9173,0.97447,0.96757,0.74206,0.76613,0.2952,0.00512,0.000955951,0.000955951,0.000955951
83,1727.68,0.62173,0.2779,0.00325,0.92868,0.96835,0.97339,0.74734,0.7698,0.3127,0.00511,0.000870577,0.000870577,0.000870577
84,1748.52,0.63771,0.29314,0.00335,0.94787,0.94036,0.97859,0.75131,0.76512,0.31557,0.00512,0.000789327,0.000789327,0.000789327
85,1769.29,0.61942,0.28348,0.00312,0.92321,0.97784,0.97981,0.74803,0.76331,0.30715,0.00511,0.000712282,0.000712282,0.000712282
86,1790.08,0.60257,0.27392,0.0032,0.89615,0.97838,0.97549,0.73844,0.7612,0.32189,0.00508,0.000639518,0.000639518,0.000639518
87,1810.81,0.61498,0.28228,0.00316,0.90163,0.99541,0.97988,0.74079,0.76335,0.31264,0.0051,0.000571106,0.000571106,0.000571106
88,1831.62,0.60479,0.28146,0.00328,0.90537,0.97069,0.97983,0.73837,0.76291,0.31432,0.00508,0.000507115,0.000507115,0.000507115
89,1852.38,0.614,0.2762,0.00325,0.96481,0.92245,0.98008,0.73936,0.76738,0.3119,0.00512,0.000447606,0.000447606,0.000447606
90,1872.98,0.60721,0.27833,0.00322,0.9125,0.94909,0.97783,0.74035,0.76333,0.31678,0.00508,0.00039264,0.00039264,0.00039264
91,1911.1,0.61949,0.27282,0.00313,0.95401,0.92551,0.97798,0.73617,0.76742,0.30709,0.00508,0.00034227,0.00034227,0.00034227
92,1931.85,0.61374,0.2806,0.00323,0.91062,0.97984,0.97893,0.73778,0.75927,0.30789,0.00505,0.000296546,0.000296546,0.000296546
93,1952.53,0.60959,0.28698,0.00306,0.92296,0.9636,0.97981,0.73897,0.7669,0.30583,0.0051,0.000255513,0.000255513,0.000255513
94,1973.16,0.59269,0.28378,0.0032,0.92285,0.9636,0.98004,0.73999,0.75876,0.29689,0.00505,0.000219212,0.000219212,0.000219212
95,1993.91,0.59146,0.27335,0.00314,0.95846,0.96016,0.97923,0.74846,0.75655,0.28996,0.00505,0.000187678,0.000187678,0.000187678
96,2014.7,0.60546,0.27808,0.00323,0.93464,0.97984,0.97797,0.74202,0.76113,0.29375,0.00509,0.000160943,0.000160943,0.000160943
97,2035.41,0.58802,0.26283,0.00315,0.9595,0.96448,0.97685,0.75189,0.75548,0.29111,0.00505,0.000139032,0.000139032,0.000139032
98,2056.07,0.60848,0.27943,0.00322,0.95131,0.97069,0.97416,0.74644,0.76228,0.28951,0.00508,0.000121968,0.000121968,0.000121968
99,2076.78,0.60613,0.27462,0.00312,0.94892,0.97758,0.974,0.74067,0.76205,0.29441,0.00508,0.000109768,0.000109768,0.000109768
100,2097.44,0.5966,0.27797,0.00301,0.94163,0.99621,0.97443,0.74403,0.75905,0.29464,0.00507,0.000102443,0.000102443,0.000102443
