epoch,class_id,class_name,precision,recall,ap50,ap50_95
72,1,spring,0.9019,0.9848,0.9902,0.8178
73,0,rod,0.9324,0.8996,0.9803,0.6435
73,1,spring,0.9845,0.9618,0.9925,0.8136
74,0,rod,0.8960,0.9369,0.9774,0.6549
74,1,spring,0.9450,0.9848,0.9920,0.8199
75,0,rod,0.9562,0.9490,0.9710,0.6575
75,1,spring,0.9727,0.9924,0.9936,0.8302
76,0,rod,0.9458,0.9130,0.9501,0.6479
76,1,spring,0.9670,0.9697,0.9926,0.8272
77,0,rod,0.9260,0.9565,0.9514,0.6703
77,1,spring,0.9491,0.9893,0.9904,0.8178
78,0,rod,0.9360,0.9543,0.9499,0.6569
78,1,spring,0.9569,0.9773,0.9900,0.8219
79,0,rod,0.9358,0.9500,0.9524,0.6640
79,1,spring,0.9504,0.9924,0.9934,0.8216
80,0,rod,0.9567,0.9609,0.9540,0.6767
80,1,spring,0.9707,0.9848,0.9936,0.8208
81,0,rod,0.8908,0.9565,0.9481,0.6670
81,1,spring,0.9632,0.9914,0.9919,0.8222
82,0,rod,0.8803,0.9565,0.9458,0.6579
82,1,spring,0.9543,0.9924,0.9894,0.8262
83,0,rod,0.9157,0.9443,0.9588,0.6699
83,1,spring,0.9417,0.9924,0.9880,0.8248
84,0,rod,0.9537,0.8962,0.9691,0.6825
84,1,spring,0.9420,0.9845,0.9880,0.8201
85,0,rod,0.9183,0.9771,0.9723,0.6725
85,1,spring,0.9281,0.9786,0.9873,0.8235
86,0,rod,0.8637,0.9643,0.9636,0.6641
86,1,spring,0.9286,0.9924,0.9874,0.8128
87,0,rod,0.8743,1.0000,0.9715,0.6596
87,1,spring,0.9290,0.9908,0.9882,0.8220
88,0,rod,0.8754,0.9565,0.9730,0.6559
88,1,spring,0.9353,0.9848,0.9867,0.8209
89,0,rod,0.9756,0.8676,0.9721,0.6550
89,1,spring,0.9541,0.9773,0.9881,0.8238
90,0,rod,0.8829,0.9130,0.9679,0.6571
90,1,spring,0.9420,0.9851,0.9878,0.8236
91,0,rod,0.9519,0.8614,0.9675,0.6496
91,1,spring,0.9561,0.9897,0.9884,0.8227
92,0,rod,0.8812,0.9673,0.9691,0.6548
92,1,spring,0.9401,0.9924,0.9887,0.8207
93,0,rod,0.9067,0.9348,0.9707,0.6540
93,1,spring,0.9392,0.9924,0.9889,0.8240
94,0,rod,0.9039,0.9348,0.9710,0.6594
94,1,spring,0.9418,0.9924,0.9891,0.8205
95,0,rod,0.9552,0.9279,0.9696,0.6757
95,1,spring,0.9617,0.9924,0.9888,0.8213
96,0,rod,0.9368,0.9673,0.9672,0.6650
96,1,spring,0.9325,0.9924,0.9887,0.8190
97,0,rod,0.9563,0.9515,0.9654,0.6785
97,1,spring,0.9627,0.9774,0.9883,0.8253
98,0,rod,0.9517,0.9565,0.9601,0.6696
98,1,spring,0.9509,0.9848,0.9882,0.8233
99,0,rod,0.9568,0.9627,0.9590,0.6655
99,1,spring,0.9411,0.9924,0.9890,0.8159
100,0,rod,0.9501,1.0000,0.9600,0.6666
100,1,spring,0.9332,0.9924,0.9889,0.8215
101,0,rod,0.9563,0.9524,0.9657,0.6799
101,1,spring,0.9627,0.9848,0.9884,0.8249
